Place,The type of place,Year,Month,Cause of death (Russian),Cause of death (English),Flu related?,male deaths,female deaths,total deaths,newcomers,prisoners in transit,babies up to 6 months,babies from 6 months to 1 year,babies from 1 year to 5 years,from 5 to 10,from 10 to 15,from 15 to 20,from 20 to 30,from 30 to 40,from 40 to 50,from 50 to 60,from 60 to 70,from 70 to 80,over 80,age is unknown,,
Moscow,provincial city,1891,February,прочие злокачеств. опухоли,other malignant tumor,,4,1,5,0,0,0,0,0,0,0,0,0,0,2,3,0,0,0,0,,
Moscow,provincial city,1891,February,болезни нервной системы,diseases of the nervous system,,78,47,125,5,0,13,10,19,5,3,4,6,11,14,14,19,3,2,2,,
Moscow,provincial city,1891,February,болезни кровеносной системы,blood disease,,46,28,74,3,0,0,0,0,2,1,0,7,9,14,18,18,4,1,0,,
Moscow,provincial city,1891,February,болезни дыхат. Органов,respiratory disease,yes,149,130,279,3,0,125,45,56,6,2,1,3,3,6,10,16,6,0,0,,
Moscow,provincial city,1891,February,чахотка легких,pulmonary tuberculosis,yes,210,106,316,17,5,0,0,6,0,3,20,82,79,60,37,21,8,0,0,,
Moscow,provincial city,1891,February,болезни пищеварит. Органов,diseases of the digestive organs,,34,26,60,3,0,21,1,3,1,1,1,5,5,13,1,5,3,0,0,,
Moscow,provincial city,1891,February,желудочно-кишечный катар,gastro-intestinal infection,yes,72,71,143,1,0,99,21,16,0,0,0,1,0,2,2,1,1,0,0,,
Moscow,provincial city,1891,February,болезни мочевых органов,urinary tract diseases,,20,17,37,2,0,0,0,3,4,0,2,2,8,4,6,4,2,1,1,,
Moscow,provincial city,1891,February,болезни половых орагнов,diseases of the genitals,,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,
Moscow,provincial city,1891,February,"болезни костей, суставов и мышц ",bone disease,,4,4,8,3,0,0,0,0,0,0,0,2,1,2,1,1,1,0,0,,
Moscow,provincial city,1891,February,болезни кожи и подкожной клечатки,skin disease,,4,2,6,0,0,0,0,0,0,0,0,2,1,0,1,2,0,0,0,,
Moscow,provincial city,1891,February,болезни лимфатических сосудов и желез,diseases of the lymphatic vessels,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Moscow,provincial city,1891,February,врожденная слабость,inherent weakness,,90,68,158,1,0,154,3,1,0,0,0,0,0,0,0,0,0,0,0,,
Moscow,provincial city,1891,February,старческая дряхлость,senile senility,,49,106,155,0,1,0,0,0,0,0,0,0,0,0,8,48,67,31,1,,
Moscow,provincial city,1891,February,врожденные пороки развития,congenital malformation,,3,6,9,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Moscow,provincial city,1891,February,причина неизвестна,unknown reason,,54,37,91,3,0,48,0,0,0,0,0,3,10,7,13,5,5,0,0,,
Moscow,provincial city,1891,February,причина неточно определена,wrong reason,,12,7,19,0,0,1,0,1,1,0,1,0,1,2,3,6,2,1,0,,
Moscow,provincial city,1891,February,несчастные случаи,acciden,,10,5,15,1,0,0,0,0,6,3,1,2,2,1,0,0,0,0,0,,
Moscow,provincial city,1891,February,самоубийства,suicides,,5,0,5,0,0,0,0,0,0,0,1,3,1,0,0,0,0,0,0,,
Moscow,provincial city,1891,February,убийства,murders,,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,
Moscow,provincial city,1891,February,прочие болезни,other disease,,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,
Moscow,provincial city,1891,February,"смерть насильственная, но род не определен",violent death,,6,2,8,3,0,0,0,1,1,0,0,2,3,1,0,0,0,0,0,,
Moscow,provincial city,1891,March,тиф сыпной,spotted fever,,37,4,41,1,11,0,0,0,0,0,4,18,6,10,3,0,0,0,0,,
Moscow,provincial city,1891,March,тиф брюшной,enteric fever,,23,7,30,1,0,0,0,0,0,2,4,17,4,1,0,0,1,0,1,,
Moscow,provincial city,1891,March,возвратная горячка,fever,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Moscow,provincial city,1891,March,тиф без означения формы,typhus,,5,2,7,1,0,0,0,0,0,1,0,1,1,2,2,0,0,0,0,,
Moscow,provincial city,1891,March,послеродовая горячка,puerperal fever,,0,11,11,1,0,0,0,0,0,0,1,4,6,0,0,0,0,0,0,,
Moscow,provincial city,1891,March,перемежающаяся лихорадка,remittent fever,,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,
Moscow,provincial city,1891,March,оспа,smallpox,,1,1,2,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,,
Moscow,provincial city,1891,March,скарлатина,scarlet fever,,18,11,29,1,0,0,1,13,11,2,2,0,0,0,0,0,0,0,0,,
Moscow,provincial city,1891,March,корь,measles,,3,1,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,,
Moscow,provincial city,1891,March,кровавый понос,bloody diarrhoea,,6,3,9,0,1,0,0,2,2,0,1,0,1,1,1,1,0,0,0,,
Moscow,provincial city,1891,March,дифтерит,pseudomembranous inflammation,,21,18,39,1,0,8,0,15,9,3,3,0,0,1,0,0,0,0,0,,
Moscow,provincial city,1891,March,круп,croup,yes,0,2,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,,
Moscow,provincial city,1891,March,крупозная пневмония,pulmonic fever,yes,42,28,70,2,3,1,2,1,1,0,2,9,3,22,12,13,3,1,0,,
Moscow,provincial city,1891,March,холера,cholera,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Moscow,provincial city,1891,March,цереброспин. Менингит,spotted fever,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Moscow,provincial city,1891,March,коклюш,whooping-cough,yes,6,7,13,0,0,4,6,2,1,0,0,0,0,0,0,0,0,0,0,,
Moscow,provincial city,1891,March,сифилис,syphilis,,3,2,5,0,0,3,0,0,0,0,0,0,0,1,0,1,0,0,0,,
Moscow,provincial city,1891,March,водобоязнь,rabies,,2,0,2,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,,
Moscow,provincial city,1891,March,сибирская язва,Siberian plague / anthrax,,2,0,2,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,,
Moscow,provincial city,1891,March,сап,glanders,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Moscow,provincial city,1891,March,рожа,wildfire,,10,9,19,0,0,10,0,0,0,0,2,2,2,0,0,1,1,1,0,,
Moscow,provincial city,1891,March,пиэмия,pyemia,,4,2,6,1,0,0,0,0,0,1,0,1,0,4,0,0,0,0,0,,
Moscow,provincial city,1891,March,септицемия,septicaemia,,22,13,35,1,0,32,0,0,0,0,0,0,0,3,0,0,0,0,0,,
Moscow,provincial city,1891,March,малокровие и хлороз,anemia,,1,2,3,1,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,,
Moscow,provincial city,1891,March,белокровие,leukemia,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Moscow,provincial city,1891,March,золотуха,scrofula,,6,1,7,0,0,2,2,3,0,0,0,0,0,0,0,0,0,0,0,,
Moscow,provincial city,1891,March,английская болезнь,english disease,,3,4,7,0,0,1,1,4,1,0,0,0,0,0,0,0,0,0,0,,
Moscow,provincial city,1891,March,острый туберкулез,tuberculosis,,3,3,6,1,0,2,0,1,0,0,0,0,2,1,0,0,0,0,0,,
Moscow,provincial city,1891,March,сахарное мочеизнурение,diabetes,,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,,
Moscow,provincial city,1891,March,подагра,gout,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Moscow,provincial city,1891,March,ревматизм,rheumatism,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Moscow,provincial city,1891,March,скорбут,scurvy,,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,
Moscow,provincial city,1891,March,верлгофова болезнь,disease vergola,,2,1,3,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,,
Moscow,provincial city,1891,March,гемофилия,hemophilia,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Moscow,provincial city,1891,March,алкоголизм,alcoholism,,3,1,4,1,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,,
Moscow,provincial city,1891,March,рак,cancer,,33,40,73,2,1,0,0,0,0,0,1,8,19,22,18,3,2,0,0,,
Moscow,provincial city,1891,March,прочие злокачеств. опухоли,other malignant tumor,,4,3,7,1,0,0,0,1,0,0,1,2,0,1,1,0,1,0,0,,
Moscow,provincial city,1891,March,болезни нервной системы,diseases of the nervous system,,91,50,141,6,1,15,7,23,2,3,5,9,17,12,14,18,14,1,1,,
Moscow,provincial city,1891,March,болезни кровеносной системы,blood disease,,35,51,86,4,0,1,2,3,0,0,0,10,9,9,25,16,8,3,0,,
Moscow,provincial city,1891,March,болезни дыхат. Органов,respiratory disease,yes,161,141,302,9,1,120,41,77,4,3,0,7,8,5,16,14,5,2,0,,
Moscow,provincial city,1891,March,чахотка легких,pulmonary tuberculosis,yes,289,106,395,16,13,1,2,6,2,1,24,108,100,70,52,23,5,0,1,,
Moscow,provincial city,1891,March,болезни пищеварит. Органов,diseases of the digestive organs,,38,28,66,4,3,22,1,2,0,2,3,6,6,8,8,8,0,0,0,,
Moscow,provincial city,1891,March,желудочно-кишечный катар,gastro-intestinal infection,yes,83,78,161,4,2,100,29,20,0,1,0,1,3,4,1,1,1,0,0,,
Moscow,provincial city,1891,March,болезни мочевых органов,urinary tract diseases,,36,20,56,2,1,0,0,3,2,0,1,8,8,16,7,8,3,0,0,,
Moscow,provincial city,1891,March,болезни половых орагнов,diseases of the genitals,,2,4,6,1,0,0,0,0,0,0,0,2,1,0,1,0,1,0,1,,
Moscow,provincial city,1891,March,"болезни костей, суставов и мышц ",bone disease,,9,2,11,2,0,0,0,1,1,1,2,2,0,1,2,0,0,1,0,,
Moscow,provincial city,1891,March,болезни кожи и подкожной клечатки,skin disease,,4,1,5,1,0,2,0,0,0,0,0,1,1,0,0,1,0,0,0,,
Moscow,provincial city,1891,March,болезни лимфатических сосудов и желез,diseases of the lymphatic vessels,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Moscow,provincial city,1891,March,врожденная слабость,inherent weakness,,69,66,135,0,0,135,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Moscow,provincial city,1891,March,старческая дряхлость,senile senility,,52,105,157,1,1,0,0,0,0,0,0,0,0,0,7,50,78,22,0,,
Moscow,provincial city,1891,March,врожденные пороки развития,congenital malformation,,1,1,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Moscow,provincial city,1891,March,причина неизвестна,unknown reason,,47,31,78,1,0,33,0,0,0,1,2,3,7,12,10,6,2,0,2,,
Moscow,provincial city,1891,March,причина неточно определена,wrong reason,,6,11,17,0,0,1,1,1,1,1,0,0,1,3,1,4,3,0,0,,
Moscow,provincial city,1891,March,несчастные случаи,acciden,,12,0,12,2,0,0,0,1,0,0,1,2,3,3,0,1,0,0,1,,
Moscow,provincial city,1891,March,самоубийства,suicides,,7,1,8,0,0,0,0,0,0,0,0,2,2,0,2,0,0,0,2,,
Moscow,provincial city,1891,March,убийства,murders,,2,1,3,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,,
Moscow,provincial city,1891,March,прочие болезни,other disease,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Moscow,provincial city,1891,March,"смерть насильственная, но род не определен",violent death,,3,1,4,1,0,0,0,1,0,0,0,2,1,0,0,0,0,0,0,,
Moscow,provincial city,1891,April,тиф сыпной,spotted fever,,24,4,28,2,7,0,0,0,0,0,5,11,7,2,3,0,0,0,0,,
Moscow,provincial city,1891,April,тиф брюшной,enteric fever,,18,9,27,0,0,0,0,0,0,2,0,14,5,3,2,1,0,0,0,,
Moscow,provincial city,1891,April,возвратная горячка,fever,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Moscow,provincial city,1891,April,тиф без означения формы,typhus,,5,2,7,0,0,0,0,2,1,0,1,0,0,1,2,0,0,0,0,,
Moscow,provincial city,1891,April,послеродовая горячка,puerperal fever,,0,4,4,1,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,,
Moscow,provincial city,1891,April,перемежающаяся лихорадка,remittent fever,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Moscow,provincial city,1891,April,оспа,smallpox,,3,1,4,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,,
Moscow,provincial city,1891,April,скарлатина,scarlet fever,,10,14,24,1,0,0,2,12,9,1,0,0,0,0,0,0,0,0,0,,
Moscow,provincial city,1891,April,корь,measles,,9,7,16,0,0,2,6,8,0,0,0,0,0,0,0,0,0,0,0,,
Moscow,provincial city,1891,April,кровавый понос,bloody diarrhoea,,4,1,5,0,0,0,0,1,0,0,1,1,0,1,1,0,0,0,0,,
Moscow,provincial city,1891,April,дифтерит,pseudomembranous inflammation,,15,28,43,0,0,10,0,18,7,5,1,1,1,0,0,0,0,0,0,,
Moscow,provincial city,1891,April,круп,croup,yes,1,1,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,,
Moscow,provincial city,1891,April,крупозная пневмония,pulmonic fever,yes,62,37,99,6,6,0,1,2,0,0,7,14,11,17,21,18,6,2,0,,
Moscow,provincial city,1891,April,холера,cholera,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
